variable_name,value,label,type
mcis_team,1,Adapt (Curry),factor
mcis_team,2,Adapt (Douglas),factor
mcis_team,3,Benton County Health Department,factor
mcis_team,4,Best Care (Crook County),factor
mcis_team,5,Best Care (Jefferson County),factor
mcis_team,6,Center for Human Development,factor
mcis_team,7,"Clackamas County Health, Housing & Human Services",factor
mcis_team,8,Clatsop Behavioral Health,factor
mcis_team,9,Columbia Community Mental Health,factor
mcis_team,10,Community Counseling Solutions (Gilliam),factor
mcis_team,11,Community Counseling Solutions (Grant),factor
mcis_team,12,Community Counseling Solutions (Morrow),factor
mcis_team,13,Community Counseling Solutions (Umatilla),factor
mcis_team,14,Community Counseling Solutions (Wheeler),factor
mcis_team,15,Coos Health and Wellness,factor
mcis_team,16,Deschutes Behavioral Health,factor
mcis_team,17,Jackson County Health & Human Services,factor
mcis_team,18,Klamath Basin Behavioral Health,factor
mcis_team,19,Lake District Behavioral Health,factor
mcis_team,20,Lane County Behavioral Health Services (WLCR),factor
mcis_team,21,Lane County Behavioral Health Services (Child Center),factor
mcis_team,22,Lane County Behavioral Health Services (White Bird),factor
mcis_team,23,"Lifeways, Inc.",factor
mcis_team,24,Lincoln County Health and Human Services,factor
mcis_team,25,Linn County Mental Health,factor
mcis_team,26,Marion County Health Department,factor
mcis_team,27,Mid-Columbia Center for Living,factor
mcis_team,28,Multnomah County Behavioral Health Division,factor
mcis_team,29,"New Directions NW, Inc.",factor
mcis_team,30,Options for Southern Oregon,factor
mcis_team,31,Polk County Addiction and Mental Health Services,factor
mcis_team,32,Symmetry Care,factor
mcis_team,33,Tillamook Behavioral Health,factor
mcis_team,34,Wallowa Valley Center for Wellness,factor
mcis_team,35,Warm Springs,factor
mcis_team,36,Washington County Health & Human Services,factor
mcis_team,37,Yamhill County Health and Human Services,factor
mc_responders_1,1,QMHP,factor
mc_responders_1,2,QMHA,factor
mc_responders_1,3,Peer,factor
mc_responders_1,4,CADC,factor
mc_responders_1,5,Medical Provider,factor
mc_responders_1,6,Other,factor
mc_responders_2,1,QMHP,factor
mc_responders_2,2,QMHA,factor
mc_responders_2,3,Peer,factor
mc_responders_2,4,CADC,factor
mc_responders_2,5,Medical Provider,factor
mc_responders_2,6,Other,factor
mc_responders_2,7,None,factor
endpoint_dispatch,1,Engaged client,factor
endpoint_dispatch,2,Client declined to engage,factor
endpoint_dispatch,3,Unable to locate client,factor
endpoint_dispatch,4,Did not make contact due to safety issues,factor
endpoint_dispatch,5,Dispatch cancelled before arrival,factor
endpoint_dispatch,6,Other,factor
repeat_dispatch,1,"No, update demographic information",factor
repeat_dispatch,2,"Yes, update demographic information",factor
repeat_dispatch,3,"Yes, skip demographic information",factor
repeat_dispatch,4,"Unknown, update demographic information",factor
gender,1,Male,factor
gender,2,Female,factor
gender,3,Other,factor
gender,4,Client Unable to Answer,factor
gender,5,Client Declined to Answer,factor
gender,6,Did Not Ask,factor
sexual_orientation,1,Same-Gender Loving,factor
sexual_orientation,2,Same-Sex Loving,factor
sexual_orientation,3,Lesbian,factor
sexual_orientation,4,Gay,factor
sexual_orientation,5,Bisexual,factor
sexual_orientation,6,Pansexual,factor
sexual_orientation,7,Straight,factor
sexual_orientation,8,Asexual,factor
sexual_orientation,9,Queer,factor
sexual_orientation,10,Questioning,factor
sexual_orientation,11,Not Listed,factor
sexual_orientation,12,Client Unable to Answer,factor
sexual_orientation,13,Client Declined to Answer,factor
sexual_orientation,14,Did Not Ask,factor
race_ethnicity1,1,Central American,factor
race_ethnicity1,2,Mexican,factor
race_ethnicity1,3,South American,factor
race_ethnicity1,4,Other Hispanic or Latino/a/x,factor
race_ethnicity1,5,Chamoru (Chamorro),factor
race_ethnicity1,6,Marshalles,factor
race_ethnicity1,7,Communities of the Micronesian Regions,factor
race_ethnicity1,8,Native Hawaiian,factor
race_ethnicity1,9,Samoan,factor
race_ethnicity1,10,Other Pacific Islander,factor
race_ethnicity1,11,Eastern European,factor
race_ethnicity1,12,Slavic,factor
race_ethnicity1,13,Western European,factor
race_ethnicity1,14,Other White,factor
race_ethnicity1,15,American Indian,factor
race_ethnicity1,16,Alaska Native,factor
race_ethnicity1,17,"Candian Inuit, Metis or First Nation",factor
race_ethnicity1,18,"Indigenous Mexican, Central Americand or South American",factor
race_ethnicity1,19,African American,factor
race_ethnicity1,20,Afro-Carribean,factor
race_ethnicity1,21,Ethiopian,factor
race_ethnicity1,22,Somali,factor
race_ethnicity1,23,Other African (Black),factor
race_ethnicity1,24,Other Black,factor
race_ethnicity1,25,Middle Eastern,factor
race_ethnicity1,26,North African,factor
race_ethnicity1,27,Asian Indian,factor
race_ethnicity1,28,Cambodian,factor
race_ethnicity1,29,Chinese,factor
race_ethnicity1,30,Communities of Myanmar,factor
race_ethnicity1,31,Filipino/a,factor
race_ethnicity1,32,Hmong,factor
race_ethnicity1,33,Japanese,factor
race_ethnicity1,34,Korean,factor
race_ethnicity1,35,Laotian,factor
race_ethnicity1,36,South Asian,factor
race_ethnicity1,37,Vietnamese,factor
race_ethnicity1,38,Other Asian,factor
race_ethnicity1,39,Other,factor
race_ethnicity1,40,Client Unable to Answer,factor
race_ethnicity1,41,Client Declined to Answer,factor
race_ethnicity1,42,Did Not Ask,factor
race_ethnicity2,1,Central American,factor
race_ethnicity2,2,Mexican,factor
race_ethnicity2,3,South American,factor
race_ethnicity2,4,Other Hispanic or Latino/a/x,factor
race_ethnicity2,5,Chamoru (Chamorro),factor
race_ethnicity2,6,Marshalles,factor
race_ethnicity2,7,Communities of the Micronesian Regions,factor
race_ethnicity2,8,Native Hawaiian,factor
race_ethnicity2,9,Samoan,factor
race_ethnicity2,10,Other Pacific Islander,factor
race_ethnicity2,11,Eastern European,factor
race_ethnicity2,12,Slavic,factor
race_ethnicity2,13,Western European,factor
race_ethnicity2,14,Other White,factor
race_ethnicity2,15,American Indian,factor
race_ethnicity2,16,Alaska Native,factor
race_ethnicity2,17,"Candian Inuit, Metis or First Nation",factor
race_ethnicity2,18,"Indigenous Mexican, Central Americand or South American",factor
race_ethnicity2,19,African American,factor
race_ethnicity2,20,Afro-Carribean,factor
race_ethnicity2,21,Ethiopian,factor
race_ethnicity2,22,Somali,factor
