variable,label,value,kind,instrument
ss_team,1,Adapt (Curry),radio,intake_stabilization_services_intake_form
ss_team,2,Adapt (Douglas),radio,intake_stabilization_services_intake_form
ss_team,3,Benton County Health Department,radio,intake_stabilization_services_intake_form
ss_team,4,Best Care (Crook County),radio,intake_stabilization_services_intake_form
ss_team,5,Best Care (Jefferson County),radio,intake_stabilization_services_intake_form
ss_team,38,Catholic Community Services,radio,intake_stabilization_services_intake_form
ss_team,6,Center for Human Development,radio,intake_stabilization_services_intake_form
ss_team,7,"Clackamas County Health, Housing & Human Services",radio,intake_stabilization_services_intake_form
ss_team,8,Clatsop Behavioral Health,radio,intake_stabilization_services_intake_form
ss_team,9,Columbia Community Mental Health,radio,intake_stabilization_services_intake_form
ss_team,10,Community Counseling Solutions (Gilliam),radio,intake_stabilization_services_intake_form
ss_team,11,Community Counseling Solutions (Grant),radio,intake_stabilization_services_intake_form
ss_team,12,Community Counseling Solutions (Morrow),radio,intake_stabilization_services_intake_form
ss_team,13,Community Counseling Solutions (Umatilla),radio,intake_stabilization_services_intake_form
ss_team,14,Community Counseling Solutions (Wheeler),radio,intake_stabilization_services_intake_form
ss_team,15,Coos Health and Wellness,radio,intake_stabilization_services_intake_form
ss_team,16,Deschutes Behavioral Health,radio,intake_stabilization_services_intake_form
ss_team,17,Jackson County Health & Human Services,radio,intake_stabilization_services_intake_form
ss_team,18,Klamath Basin Behavioral Health,radio,intake_stabilization_services_intake_form
ss_team,19,Lake View Health District,radio,intake_stabilization_services_intake_form
ss_team,20,Lane County Behavioral Health Services (WLCR),radio,intake_stabilization_services_intake_form
ss_team,21,Lane County Behavioral Health Services (Child Center),radio,intake_stabilization_services_intake_form
ss_team,22,Lane County Behavioral Health Services (White Bird),radio,intake_stabilization_services_intake_form
ss_team,23,"Lifeways, Inc.",radio,intake_stabilization_services_intake_form
ss_team,24,Lincoln County Health and Human Services,radio,intake_stabilization_services_intake_form
ss_team,25,Linn County Mental Health,radio,intake_stabilization_services_intake_form
ss_team,26,Marion County Health Department,radio,intake_stabilization_services_intake_form
